
发现更新， lowest_score= 615 ,在第370个学校,中国人民大学,天津,2014,literature,diyipi
发现更新， lowest_score= 645 ,在第372个学校,中国人民大学,天津,2014,science,diyipi
发现更新， lowest_score= 638 ,在第373个学校,中国人民大学,辽宁,2014,literature,diyipi
发现更新， lowest_score= 662 ,在第375个学校,中国人民大学,辽宁,2014,science,diyipi
发现更新， lowest_score= 634 ,在第377个学校,中国人民大学,吉林,2014,literature,diyipi
发现更新， lowest_score= 671 ,在第379个学校,中国人民大学,吉林,2014,science,diyipi
发现更新， lowest_score= 649 ,在第380个学校,中国人民大学,黑龙江,2014,literature,diyipi
发现更新， lowest_score= 672 ,在第381个学校,中国人民大学,黑龙江,2014,science,diyipi
发现更新， lowest_score= 498 ,在第383个学校,中国人民大学,上海,2014,literature,diyipi
发现更新， lowest_score= 497 ,在第384个学校,中国人民大学,上海,2014,science,diyipi
发现更新， lowest_score= 383 ,在第385个学校,中国人民大学,江苏,2014,literature,diyipi
发现更新， lowest_score= 386 ,在第386个学校,中国人民大学,江苏,2014,science,diyipi
发现更新， lowest_score= 695 ,在第387个学校,中国人民大学,浙江,2014,literature,diyipi
发现更新， lowest_score= 699 ,在第389个学校,中国人民大学,浙江,2014,science,diyipi
发现更新， lowest_score= 623 ,在第391个学校,中国人民大学,安徽,2014,literature,diyipi
发现更新， lowest_score= 620 ,在第392个学校,中国人民大学,安徽,2014,science,diyipi
发现更新， lowest_score= 647 ,在第393个学校,中国人民大学,福建,2014,literature,diyipi
发现更新， lowest_score= 649 ,在第395个学校,中国人民大学,福建,2014,science,diyipi
发现更新， lowest_score= 656 ,在第397个学校,中国人民大学,山东,2014,literature,diyipi
发现更新， lowest_score= 667 ,在第399个学校,中国人民大学,山东,2014,science,diyipi
发现更新， lowest_score= 604 ,在第401个学校,中国人民大学,湖北,2014,literature,diyipi
发现更新， lowest_score= 654 ,在第402个学校,中国人民大学,湖北,2014,science,diyipi
发现更新， lowest_score= 635 ,在第403个学校,中国人民大学,湖南,2014,literature,diyipi
发现更新， lowest_score= 638 ,在第405个学校,中国人民大学,湖南,2014,science,diyipi
发现更新， lowest_score= 646 ,在第407个学校,中国人民大学,广东,2014,literature,diyipi
发现更新， lowest_score= 659 ,在第408个学校,中国人民大学,广东,2014,science,diyipi
发现更新， lowest_score= 635 ,在第409个学校,中国人民大学,重庆,2014,literature,diyipi
发现更新， lowest_score= 628 ,在第410个学校,中国人民大学,重庆,2014,science,diyipi
发现更新， lowest_score= 608 ,在第411个学校,中国人民大学,四川,2014,literature,diyipi
发现更新， lowest_score= 641 ,在第413个学校,中国人民大学,四川,2014,science,diyipi
发现更新， lowest_score= 611 ,在第417个学校,中国人民大学,甘肃,2014,literature,diyipi
发现更新， lowest_score= 642 ,在第418个学校,中国人民大学,甘肃,2014,science,diyipi
发现更新， lowest_score= 638 ,在第419个学校,中国人民大学,河北,2014,literature,diyipi
发现更新， lowest_score= 674 ,在第420个学校,中国人民大学,河北,2014,science,diyipi
发现更新， lowest_score= 596 ,在第421个学校,中国人民大学,山西,2014,literature,diyipi
发现更新， lowest_score= 651 ,在第422个学校,中国人民大学,山西,2014,science,diyipi
发现更新， lowest_score= 617 ,在第423个学校,中国人民大学,内蒙古,2014,literature,diyipi
发现更新， lowest_score= 620 ,在第424个学校,中国人民大学,内蒙古,2014,science,diyipi
发现更新， lowest_score= 606 ,在第425个学校,中国人民大学,河南,2014,literature,diyipi
发现更新， lowest_score= 652 ,在第426个学校,中国人民大学,河南,2014,science,diyipi
发现更新， lowest_score= 838 ,在第428个学校,中国人民大学,海南,2014,literature,diyipi
发现更新， lowest_score= 825 ,在第429个学校,中国人民大学,海南,2014,science,diyipi
发现更新， lowest_score= 628 ,在第430个学校,中国人民大学,广西,2014,literature,diyipi
发现更新， lowest_score= 631 ,在第431个学校,中国人民大学,广西,2014,science,diyipi
发现更新， lowest_score= 644 ,在第432个学校,中国人民大学,贵州,2014,literature,diyipi
发现更新， lowest_score= 636 ,在第433个学校,中国人民大学,贵州,2014,science,diyipi
发现更新， lowest_score= 649 ,在第434个学校,中国人民大学,云南,2014,literature,diyipi
发现更新， lowest_score= 653 ,在第435个学校,中国人民大学,云南,2014,science,diyipi
发现更新， lowest_score= 606 ,在第437个学校,中国人民大学,青海,2014,literature,diyipi
发现更新， lowest_score= 626 ,在第438个学校,中国人民大学,青海,2014,science,diyipi
发现更新， lowest_score= 606 ,在第439个学校,中国人民大学,宁夏,2014,literature,diyipi
发现更新， lowest_score= 626 ,在第441个学校,中国人民大学,宁夏,2014,science,diyipi
发现更新， lowest_score= 627 ,在第442个学校,中国人民大学,新疆,2014,literature,diyipi
发现更新， lowest_score= 640 ,在第443个学校,中国人民大学,新疆,2014,science,diyipi
发现更新， lowest_score= 603 ,在第444个学校,中国人民大学,江西,2014,literature,diyipi
发现更新， lowest_score= 631 ,在第446个学校,中国人民大学,江西,2014,science,diyipi
发现更新， lowest_score= 660 ,在第447个学校,中国人民大学,北京,2015,literature,diyipi
